,0
117,-666.1017234148212
118,-653.2881614444477
119,-668.474576218804
120,-675.6610129917008
121,-674.8474716205128
122,-695.0339068354551
123,-717.2203698813755
124,-712.4069260148954
125,-705.5935267483837
126,-707.7801281638931
127,-706.9667298947343
128,-705.1533064526857
129,-739.3398024498829
130,-770.5263063601897
131,-775.7128798733838
132,-790.8994695654555
133,-807.086077932674
134,-822.272714331355
135,-824.4593915696814
136,-838.6460692179126
137,-854.8327652908092
138,-853.0195141064378
139,-856.2062830092145
140,-852.3930777703436
141,-853.5798802817117
142,-841.7667018994152
143,-851.953490870289
144,-860.140284132126
145,-858.327103797551
146,-858.5139338645376
147,-857.7007742785481
148,-858.8876239503434
149,-844.0744977665672
150,-855.2613384302158
151,-849.4481969996159
152,-856.6350389252566
153,-861.8218791258005
154,-873.008710542219
155,-886.1955416604924
156,-889.3823830566107
157,-921.569190162666
158,-932.7560313936774
159,-944.942888212644
160,-954.1297616699912
161,-955.3166517174177
162,-969.503528714099
163,-979.6904108753079
164,-993.877291776229
165,-1009.0641772220706
166,-1017.2510773234808
167,-1034.4379776556589
168,-1031.6249096594192
169,-1034.8118379281532
170,-1048.9987487621738
171,-1070.1856506543145
172,-1086.372565269813
173,-1092.559501129249
174,-1100.7464446637368
175,-1101.9334047282819
176,-1095.1203799384266
177,-1091.307351096979
178,-1102.4943019391676
179,-1114.681250471158
180,-1124.8682064110253
181,-1128.055178712665
182,-1119.2421709258915
183,-1113.4291624539846
184,-1111.6161449024457
185,-1132.8031024831898
186,-1133.9900823733442
187,-1139.1770656689805
188,-1136.3640635085494
189,-1123.5510778964272
190,-1109.738097910872
191,-1094.9251223087767
192,-1072.1121559420908
193,-1057.2991815177684
194,-1043.4862029301148
195,-1041.673212197653
196,-1031.86023211247
197,-1011.047268719858
198,-983.234316458982
199,-957.4213646659355
200,-928.6084168302605
201,-899.7954706217315
202,-868.982529277886
203,-829.169601544907
204,-778.3566898185118
205,-724.5437858732885
206,-661.7308921062704
207,-611.917987452498
208,-549.1050971881332
209,-487.29221102847805
210,-413.47934123912455
211,-338.66647646630736
212,-263.8536138502859
213,-189.04075401099635
214,-108.22790348916715
215,-28.41505388992482
216,46.397799174194006
217,128.21064117019614
218,212.02347687912697
219,293.83631138607325
220,378.6491378504452
221,469.46195300219733
222,554.2747728273616
223,637.087591832862
224,728.9003950495071
225,821.7132011997319
226,871.526064083936
227,965.338859630443
228,1060.151633483585
229,1161.9643811583273
230,1274.7770947635927
231,1391.5897848346103
232,1506.4024589899818
233,1631.2150929016698
234,1766.0276829654304
235,1897.8402538364535
236,2027.652807026585
237,2155.465337923055
238,2289.2778259068
239,2421.090278889169
240,2554.9026738746034
241,2689.7149596617437
242,2829.526951294707
243,2972.33803591552
244,3117.1460602966563
245,3266.943687252333
246,3426.7068894010627
247,3585.3603150464132
248,3744.676605453593
249,3902.998771643366
250,4062.5081569800623
251,4214.40199388608
252,4345.563253303939
253,5109.793957445716
254,5168.954160994534
255,5135.164846292433
256,4958.505872375361
257,4461.733504484877
258,3674.0452823368305
259,2581.1968863011243
260,1201.7990863029445
261,-345.0053112222922
262,-1876.5112179941607
263,-3227.1187912037276
264,-4277.7101044655865
265,-4956.473411533061
266,-5282.928209191392
267,-5342.525345393155
268,-5225.749748735074
269,-5003.224130257924
270,-4712.181952206505
271,-4373.307875417471
272,-4052.253788564114
273,-3719.585977046314
274,-3413.1935419747642
275,-3108.6280701264077
276,-2806.0265969555694
277,-2502.418689263166
278,-2201.809708843419
279,-1990.1998861504435
280,-1811.5895160450127
281,-1697.9785709197786
282,-1544.3677768283997
283,-1440.7568066068125
284,-1290.1462945172534
285,-1120.535951100679
286,-1044.9249253979942
287,-953.3140594033648
288,-839.7037810115762
289,-692.0942901413873
290,-554.4852681072662
291,-400.8767623765416
292,-293.2684108419162
293,-110.66102122054508
294,-18.053414465517562
295,161.5532763965166
296,280.1604829507414
297,371.7682954409356
298,477.3764349061821
299,517.9854319673432
300,621.5940617266133
301,693.2032521312067
302,782.8131317646476
303,783.4248637953351
304,837.0370713069824
305,808.6505393374027
306,815.2634440068869
307,859.8750471301573
308,939.485546333297
309,998.0961154220822
310,1071.7072047933689
311,1095.320104616574
312,1045.9347883969276
313,1055.5489231079118
314,1088.1623320201252
315,1159.7754880277644
316,1151.3903720158305
317,1153.0063363853042
318,1101.623540561799
319,1091.2404692578057
320,1075.8572068258109
321,1049.473591896527
322,1073.0889120266766
323,1092.7040375846918
