,0
125,4433.593526748384
126,4468.780128163893
127,4503.966729894734
128,4539.153306452686
129,4574.339802449883
130,4609.52630636019
131,4644.712879873384
132,4679.899469565456
133,4715.086077932674
134,4750.272714331355
135,4785.459391569681
136,4820.646069217913
137,4855.832765290809
138,4891.019514106438
139,4926.2062830092145
140,4961.393077770344
141,4996.579880281712
142,5031.766701899415
143,5066.953490870289
144,5102.140284132126
145,5137.327103797551
146,5172.513933864538
147,5207.700774278548
148,5242.887623950343
149,5278.074497766567
150,5313.261338430216
151,5348.448196999616
152,5383.635038925257
153,5418.8218791258005
154,5454.008710542219
155,5489.195541660492
156,5524.382383056611
157,5559.569190162666
158,5594.756031393677
159,5629.942888212644
160,5665.129761669991
161,5700.316651717418
162,5735.503528714099
163,5770.690410875308
164,5805.877291776229
165,5841.064177222071
166,5876.251077323481
167,5911.437977655659
168,5946.624909659419
169,5981.811837928153
170,6016.998748762174
171,6052.1856506543145
172,6087.372565269813
173,6122.559501129249
174,6157.746444663737
175,6192.933404728282
176,6228.120379938427
177,6263.307351096979
178,6298.494301939168
179,6333.681250471158
180,6368.868206411025
181,6404.055178712665
182,6439.2421709258915
183,6474.429162453985
184,6509.616144902446
185,6544.80310248319
186,6579.990082373344
187,6615.1770656689805
188,6650.364063508549
189,6685.551077896427
190,6720.738097910872
191,6755.925122308777
192,6791.112155942091
193,6826.299181517768
194,6861.486202930115
195,6896.673212197653
196,6931.86023211247
197,6967.047268719858
198,7002.234316458982
199,7037.4213646659355
200,7072.6084168302605
201,7107.7954706217315
202,7142.982529277886
203,7178.169601544907
204,7213.356689818512
205,7248.5437858732885
206,7283.73089210627
207,7318.917987452498
208,7354.105097188133
209,7389.292211028478
210,7424.479341239125
211,7459.666476466307
212,7494.853613850286
213,7530.040754010996
214,7565.227903489167
215,7600.415053889925
216,7635.602200825806
217,7670.789358829804
218,7705.976523120873
219,7741.163688613927
220,7776.350862149555
221,7811.538046997803
222,7846.725227172638
223,7881.912408167138
224,7917.099604950493
225,7952.286798800268
226,7987.473935916064
227,8022.661140369557
228,8057.848366516415
229,8093.035618841673
230,8128.222905236407
231,8163.41021516539
232,8198.597541010018
233,8233.78490709833
234,8268.97231703457
235,8304.159746163547
236,8339.347192973415
237,8374.534662076945
238,8409.7221740932
239,8444.909721110831
240,8480.097326125397
241,8515.285040338256
242,8550.473048705293
243,8585.66196408448
244,8620.853939703344
245,8656.056312747667
246,8691.293110598937
247,8726.639684953587
248,8762.323394546407
249,8799.001228356634
250,8838.491843019938
251,8885.59800611392
252,8952.436746696061
253,9068.206042554284
254,9259.045839005466
255,9576.835153707567
256,10088.494127624639
257,10856.266495515123
258,11940.95471766317
259,13363.803113698876
260,15072.200913697056
261,16947.005311222292
262,18826.51121799416
263,20536.118791203728
264,21943.710104465586
265,22997.47341153306
266,23716.928209191392
267,24171.525345393155
268,24448.749748735074
269,24624.224130257924
270,24749.181952206505
271,24852.30787541747
272,24947.253788564114
273,25039.585977046314
274,25131.193541974764
275,25222.628070126408
276,25314.02659695557
277,25405.418689263166
278,25496.80970884342
279,25588.199886150443
280,25679.589516045013
281,25770.97857091978
282,25862.3677768284
283,25953.756806606812
284,26045.146294517253
285,26136.53595110068
286,26227.924925397994
287,26319.314059403365
288,26410.703781011576
289,26502.094290141387
290,26593.485268107266
291,26684.87676237654
292,26776.268410841916
293,26867.661021220545
294,26959.053414465518
295,27050.446723603483
296,27141.83951704926
297,27233.231704559064
298,27324.623565093818
299,27416.014568032657
300,27507.405938273387
301,27598.796747868793
302,27690.186868235352
303,27781.575136204665
304,27872.962928693018
305,27964.349460662597
306,28055.736555993113
307,28147.124952869843
308,28238.514453666703
309,28329.903884577918
310,28421.29279520663
311,28512.679895383426
312,28604.065211603072
313,28695.451076892088
314,28786.837667979875
315,28878.224511972236
316,28969.60962798417
317,29060.993663614696
318,29152.3764594382
319,29243.759530742194
320,29335.14279317419
321,29426.526408103473
